ID_1; SKU_1; ID_2; SKU_2; LevDist; PercentageOfMatch
326469.0; Шампунь Klorane з екстрактом  красолі проти сух лупи 200мл (80014); 326469.0; Шампунь Klorane з екстрактом  красолі проти сух лупи 200мл (80014); 0; 1.0
326471.0; Шампунь Klorane з екстрактом  хініном та вітаміном В п/випад волосся 200мл 80015; 326471.0; Шампунь Klorane з екстрактом  хініном та вітаміном В п/випад волосся 200мл 80015; 0; 1.0
326471.0; Шампунь Klorane з екстрактом  хініном та вітаміном В п/випад волосся 200мл 80015; 326692.0; Шампунь Klorane з екстрактом  хініном та вітаміном В п/випад волосся 400мл (80060); 5; 0.9375
326684.0; Шампунь Klorane живильний з маслом манго 200мл 80062; 326684.0; Шампунь Klorane живильний з маслом манго 200мл 80062; 0; 1.0
326688.0; Бальзам Klorane живильний з олією манго (80063) 150мл; 326688.0; Бальзам Klorane живильний з олією манго (80063) 150мл; 0; 1.0
326916.0; Бальзам Klorane з хініном та вітаміном В п/випад волосся(80032) 150мл; 326916.0; Бальзам Klorane з хініном та вітаміном В п/випад волосся(80032) 150мл; 0; 1.0
326919.0; Бальзам Klorane з вівсяним молочком помякш д/всіх тип вол(80034) 150мл; 326919.0; Бальзам Klorane з вівсяним молочком помякш д/всіх тип вол(80034) 150мл; 0; 1.0
326429.0; Лосьйон Avene Cleanance матуючий 200мл71079; 326429.0; Лосьйон Avene Cleanance матуючий 200мл71079; 0; 1.0
326467.0; Шампунь Klorane з вівсяним молочком д/част застос 400мл 80061; 326246.0; Шампунь Klorane з вівсяним молочком д/част застос 200мл 80023; 3; 0.9508196721311475
326467.0; Шампунь Klorane з вівсяним молочком д/част застос 400мл 80061; 326467.0; Шампунь Klorane з вівсяним молочком д/част застос 400мл 80061; 0; 1.0
326692.0; Шампунь Klorane з екстрактом  хініном та вітаміном В п/випад волосся 400мл (80060); 326471.0; Шампунь Klorane з екстрактом  хініном та вітаміном В п/випад волосся 200мл 80015; 5; 0.9390243902439024
326692.0; Шампунь Klorane з екстрактом  хініном та вітаміном В п/випад волосся 400мл (80060); 326692.0; Шампунь Klorane з екстрактом  хініном та вітаміном В п/випад волосся 400мл (80060); 0; 1.0
581817.0; Шампунь Klorane живильний з маслом манго 400мл 80013; 326684.0; Шампунь Klorane живильний з маслом манго 200мл 80062; 3; 0.9423076923076923
326691.0; Маска Klorane відновлююча живильна з олією манго (80064) 150мл; 326691.0; Маска Klorane відновлююча живильна з олією манго (80064) 150мл; 0; 1.0
326506.0; Крем-пудра Avene сонцезахисна Бронзова SPF50 10мл70104; 326506.0; Крем-пудра Avene сонцезахисна Бронзова SPF50 10мл70104; 0; 1.0
